N;suma_inferior;suma_superior;pi;residuo_inferior;residuo_superior
10;2,57753939;3,46092427;3,14159265;-0,56405326;0,31933162
20;2,89132512;3,31179417;3,14159265;-0,25026753;0,17020152
30;2,98249005;3,25818806;3,14159265;-0,15910260;0,11659541
40;3,02542690;3,23048766;3,14159265;-0,11616576;0,08889500
50;3,05029180;3,21352310;3,14159265;-0,09130086;0,07193044
60;3,06647388;3,20204762;3,14159265;-0,07511878;0,06045497
70;3,07782962;3,19375947;3,14159265;-0,06376304;0,05216681
80;3,08623045;3,18748816;3,14159265;-0,05536220;0,04589551
90;3,09269289;3,18257485;3,14159265;-0,04889977;0,04098220
100;3,09781606;3,17862002;3,14159265;-0,04377659;0,03702736
200;3,12030791;3,16050841;3,14159265;-0,02128474;0,01891576
300;3,12757160;3,15432730;3,14159265;-0,01402106;0,01273465
400;3,13115035;3,15120041;3,14159265;-0,01044230;0,00960776
500;3,13327828;3,14931031;3,14159265;-0,00831438;0,00771766
600;3,13468800;3,14804358;3,14159265;-0,00690465;0,00645093
700;3,13569023;3,14713514;3,14159265;-0,00590242;0,00554249
800;3,13643914;3,14645164;3,14159265;-0,00515352;0,00485899
900;3,13701988;3,14591865;3,14159265;-0,00457277;0,00432600
1000;3,13748332;3,14549132;3,14159265;-0,00410934;0,00389867
2000;3,13955444;3,14355644;3,14159265;-0,00203821;0,00196379
3000;3,14023862;3,14290618;3,14159265;-0,00135403;0,00131353
4000;3,14057925;3,14257975;3,14159265;-0,00101340;0,00098710
5000;3,14078308;3,14238340;3,14159265;-0,00080957;0,00079075
6000;3,14091872;3,14225227;3,14159265;-0,00067394;0,00065962
7000;3,14101546;3,14215848;3,14159265;-0,00057719;0,00056583
8000;3,14108794;3,14208807;3,14159265;-0,00050471;0,00049541
9000;3,14114426;3,14203325;3,14159265;-0,00044839;0,00044060
10000;3,14118929;3,14198937;3,14159265;-0,00040337;0,00039671
